Bairro,NumerodeHomicidios,Regional,PopulacaoTotal,PopHomens,PopMulheres,MediaMoradores,RazaoDep,Id,GID,Geometria,HomicidioPopulacao
PADRE ANDRADE,6,REGIONAL 3,12936,5912,7024,3.41,"40,14",Limite Bairro.fid-2be50750_153af4824fe_2d91,92,POLYGON,46.382
PAPICU,11,REGIONAL 2,18370,8584,9786,3.3,"37,15",Limite Bairro.fid-2be50750_153af4824fe_2d6f,112,POLYGON,59.88
PARANGABA,11,REGIONAL 4,30947,14271,16676,3.33,"36,61",Limite Bairro.fid-2be50750_153af4824fe_2d78,63,POLYGON,35.545
PARQUE ARAXA,0,REGIONAL 3,6715,2919,3796,3.33,"38,83",Limite Bairro.fid-2be50750_153af4824fe_2d49,89,POLYGON,0
PARQUE DOIS IRMAOS,14,REGIONAL 6,27236,13072,14164,3.64,"41,27",Limite Bairro.fid-2be50750_153af4824fe_2d74,58,POLYGON,51.403
PARQUE IRACEMA,2,REGIONAL 6,8409,3875,4534,3.07,"35,35",Limite Bairro.fid-2be50750_153af4824fe_2d4b,7,POLYGON,23.784
PARQUE MANIBURA,0,REGIONAL 6,7529,3472,4057,3.69,"34,66",Limite Bairro.fid-2be50750_153af4824fe_2d5c,38,POLYGON,0
PARQUE PRESIDENTE VARGAS,9,REGIONAL 5,7192,3560,3632,3.69,"51,57",Limite Bairro.fid-2be50750_153af4824fe_2d77,64,POLYGON,125.139
PARQUE SANTA ROSA,8,REGIONAL 5,12790,6106,6684,3.43,"42,21",Limite Bairro.fid-2be50750_153af4824fe_2d8a,86,POLYGON,62.549
PARQUE SAO JOSE,17,REGIONAL 5,10486,5007,5479,3.47,"45,22",Limite Bairro.fid-2be50750_153af4824fe_2d95,99,POLYGON,162.121
PARQUELANDIA,6,REGIONAL 3,14432,6283,8149,3.22,"36,61",Limite Bairro.fid-2be50750_153af4824fe_2da2,111,POLYGON,41.574
PARREAO,0,REGIONAL 4,11072,4977,6095,3.43,"39,8",Limite Bairro.fid-2be50750_153af4824fe_2d7f,71,POLYGON,0
PASSARE,35,REGIONAL 6,50940,24541,26399,3.38,"42,92",Limite Bairro.fid-2be50750_153af4824fe_2d2e,6,POLYGON,68.708
PAUPINA,12,REGIONAL 6,14665,7042,7623,3.46,"41,55",Limite Bairro.fid-2be50750_153af4824fe_2d36,28,POLYGON,81.827
PEDRAS,1,REGIONAL 6,1342,670,672,3.63,"46,99",Limite Bairro.fid-2be50750_153af4824fe_2d35,26,POLYGON,74.516
PICI,23,REGIONAL 3,42494,20330,22164,3.58,43,Limite Bairro.fid-2be50750_153af4824fe_2d97,102,POLYGON,54.125
PIRAMBU,38,REGIONAL 1,17775,8430,9345,3.65,"49,62",Limite Bairro.fid-2be50750_153af4824fe_2d45,2,POLYGON,213.783
PLANALTO AYRTON SENNA,30,REGIONAL 5,39446,19277,20169,3.56,"46,83",Limite Bairro.fid-2be50750_153af4824fe_2d94,97,POLYGON,76.053
PRAIA DE IRACEMA,11,REGIONAL 2,3130,1437,1693,2.87,"34,28",Limite Bairro.fid-2be50750_153af4824fe_2da3,113,POLYGON,351.438
PRAIA DO FUTURO I,12,REGIONAL 2,6630,3224,3406,3.42,"49,86",Limite Bairro.fid-2be50750_153af4824fe_2d9d,107,POLYGON,180.995
PRAIA DO FUTURO II,12,REGIONAL 2,11957,5879,6078,3.46,"48,74",Limite Bairro.fid-2be50750_153af4824fe_2d3c,98,POLYGON,100.36
PREFEITO JOSE VALTER,25,REGIONAL 5,33427,15401,18026,3.42,"43,27",Limite Bairro.fid-2be50750_153af4824fe_2d3b,96,POLYGON,74.79
PRESIDENTE KENNEDY,2,REGIONAL 3,23004,10327,12677,3.43,"37,83",Limite Bairro.fid-2be50750_153af4824fe_2d9c,106,POLYGON,8.694
